File_Path,File,Commit_Count
SQL/mysql.initial.sql,mysql.initial,83
SQL/mysql/2008030300.sql,2008030300,1
SQL/mysql/2008040500.sql,2008040500,2
SQL/mysql/2008060900.sql,2008060900,1
SQL/mysql/2008092100.sql,2008092100,1
SQL/mysql/2009090400.sql,2009090400,2
SQL/mysql/2009103100.sql,2009103100,1
SQL/mysql/2010042300.sql,2010042300,1
SQL/mysql/2010100600.sql,2010100600,1
SQL/mysql/2011011200.sql,2011011200,1
SQL/mysql/2011092800.sql,2011092800,1
SQL/mysql/2011111600.sql,2011111600,1
SQL/mysql/2011121400.sql,2011121400,1
SQL/mysql/2012080700.sql,2012080700,1
SQL/mysql/2013011000.sql,2013011000,2
SQL/mysql/2013042700.sql,2013042700,1
SQL/mysql/2013052500.sql,2013052500,1
SQL/mysql/2013061000.sql,2013061000,1
SQL/mysql/2014042900.sql,2014042900,1
SQL/mysql/2015030800.sql,2015030800,1
SQL/mysql/2015111100.sql,2015111100,1
SQL/mysql/2016081200.sql,2016081200,1
SQL/mysql/2016100900.sql,2016100900,1
SQL/mysql/2016112200.sql,2016112200,2
SQL/mysql/2018021600.sql,2018021600,3
SQL/mysql/2018122300.sql,2018122300,1
SQL/mysql/2019092900.sql,2019092900,1
SQL/mysql/2020020100.sql,2020020100,1
SQL/mysql/2020020101.sql,2020020101,6
SQL/mysql/2020091000.sql,2020091000,2
SQL/mysql/2020122900.sql,2020122900,2
SQL/mysql/2021081000.sql,2021081000,2
SQL/mysql/2021100300.sql,2021100300,1
SQL/mysql/2022081200.sql,2022081200,1
SQL/mysql/2022100100.sql,2022100100,1
